text,intent
привет,greeting
здравствуй,greeting
здравствуйте,greeting
добрый день,greeting
доброе утро,greeting
добрый вечер,greeting
хай,greeting
здарова,greeting
приветствую,greeting
салют,greeting
приветик,greeting
здрасьте,greeting
здорово,greeting
привет всем,greeting
всем привет,greeting
хаюшки,greeting
здорова,greeting
прив,greeting
дратути,greeting
о привет,greeting
йоу,greeting
хеллоу,greeting
хей,greeting
ку,greeting
дарова,greeting
салам,greeting
привет бот,greeting
здравствуй бот,greeting
добрый день бот,greeting
здравствуйте как жизнь,greeting
доброго здоровья,greeting
приветствую вас,greeting
доброго времени суток,greeting
здравствуйте дорогой,greeting
привет как ты,greeting
рад тебя видеть,greeting
здаровеько,greeting
привет как дела,greeting
здравствуйте как вы,greeting
добрый день как жизнь,greeting
о приветик,greeting
привет солнце,greeting
здравствуй друг,greeting
привет дружище,greeting
здорово братан,greeting
салам алейкум,greeting
привет котик,greeting
здравствуйте господа,greeting
доброго утречка,greeting
доброго вечерочка,greeting
приветствую тебя,greeting
рад познакомиться,greeting
приятно познакомиться,greeting
здравствуйте пожалуйста,greeting
привет привет,greeting
здравствуйте я здесь,greeting
хеллоу everyone,greeting
какая погода в москве,weather
какая погода в санкт-петербурге,weather
какая погода в новосибирске,weather
какая погода в екатеринбурге,weather
какая погода в казани,weather
какая погода в нижнем новгороде,weather
какая погода в челябинске,weather
какая погода в омске,weather
какая погода в самаре,weather
какая погода в ростове,weather
погода в москве,weather
погода в спб,weather
погода сегодня,weather
погода на завтра,weather
погода на послезавтра,weather
сколько градусов,weather
температура на улице,weather
будет ли дождь,weather
прогноз погоды,weather
что с погодой,weather
холодно на улице,weather
жарко сегодня,weather
какая температура завтра,weather
снег будет,weather
ветер сильный,weather
прогноз на сегодня,weather
метео,weather
погода сейчас,weather
какая сегодня погода,weather
погода на неделю,weather
прогноз на выходные,weather
солнечно сегодня,weather
дождь будет,weather
снег ожидается,weather
ветер какой,weather
на улице что творится,weather
градусник показывает,weather
замерзнешь на улице,weather
тепло или холодно,weather
нужна куртка,weather
зонт нужен,weather
гроза будет,weather
какая погода завтра в москве,weather
погода на сегодня в питере,weather
температура в новосибирске,weather
прогноз погоды на неделю,weather
что за погода на улице,weather
какая температура на улице,weather
погодные условия,weather
осадки ожидаются,weather
влажность какая,weather
сильный ветер сегодня,weather
ливень будет,weather
снегопад ожидается,weather
метель,weather
град будет,weather
туман утром,weather
гололед на дорогах,weather
солнечно и тепло,weather
пасмурно сегодня,weather
облачно с прояснениями,weather
небольшой дождь,weather
проливной дождь,weather
заморозки ночью,weather
тепло ли на улице,weather
холодно ли надеть шапку,weather
сколько времени,time
который час,time
текущее время,time
скажи время,time
время сейчас,time
какое сейчас время,time
часы покажи,time
точное время,time
сколько сейчас часов,time
который час сейчас,time
время московское,time
местное время,time
текущий час,time
покажи время,time
во сколько,time
который час покажи,time
сколько минут,time
время суток,time
который час в москве,time
сколько времени сейчас,time
